city,latitude,longitude,name,province
Massena,44.9213,-74.89021,McDonald's,NY
Washington Court House,39.53255,-83.44526,Wendy's,OH
Maysville,38.62736,-83.79141,Frisch's Big Boy,KY
Massena,44.95008,-74.84553,McDonald's,NY
Athens,39.35155,-82.09728,OMG! Rotisserie,OH
Hamilton,39.4176,-84.47641,Domino's Pizza,OH
Englewood,39.86969,-84.29358,Domino's Pizza,OH
Saluda,34.00598,-81.7704,McDonald's,SC
Batesburg,33.91335,-81.5333,Wendy's,SC
Paragould,36.06107,-90.52325,Pizza Hut,AR
Sheridan,34.30687,-92.40784,SONIC Drive In,AR
Monticello,33.61937,-91.80232,Domino's Pizza,AR
Oklahoma City,35.52234,-97.5382,McDonald's,OK
Lexington,38.06753,-84.53043,Domino's Pizza,KY
Tell City,37.941032,-86.762115,Long John Silver's,IN
Louisville,38.21999,-85.764824,McDonald's,KY
Oklahoma City,35.54815,-97.61717,McDonald's,OK
Leland,34.23389,-77.99544,Taco Bell,NC
Leland,34.21188,-78.02454,McDonald's,NC
Brentwood,36.04222,-86.77995,Qdoba Mexican Grill,TN
Leland,34.234477,-78.000649,McDonald's,NC
Hardinsburg,37.792641,-86.492762,McDonald's,KY
Wichita Falls,33.85371,-98.50065,McDonald's,TX
South Padre Island,26.09105,-97.1643,McDonald's,TX
Miami,36.88826,-94.87766,McDonald's,OK
Pineville,31.3626,-92.41343,Pizza Hut,LA
Bastrop,32.77992,-91.89477,Sonic Drive-In,LA
Claremore,36.31069,-95.61759,Domino's Pizza,OK
Minerva,40.732,-81.09812,McDonald's,OH
Leavenworth,39.28532,-94.90441,SONIC Drive In,KS
Jamestown,46.898997,-98.707788,Taco Bell,ND
Fargo,46.85659,-96.79863,Domino's Pizza,ND
Jamestown,46.89896,-98.6984,Taco John's,ND
Minot,48.20858,-101.3128,McDonald's,ND
Woodville,30.76846,-94.41477,Whataburger,TX
Minot,48.219459,-101.296022,Pizza Hut,ND
Smithfield,41.82069,-111.83318,Domino's Pizza,UT
Ada,34.77482,-96.68126,Hamburger King,OK
Broken Arrow,36.01948,-95.79756,SONIC Drive In,OK
Norman,35.18173,-97.41709,Domino's Pizza,OK
Warner Robins,32.59495,-83.58338,Burger King,GA
Albuquerque,35.144456,-106.585927,Burger King,NM
El Paso,31.77465,-106.38071,McDonalds,TX
Shawnee,35.33252,-96.91222,SONIC Drive In,OK
Portland,45.457027,-122.713696,Taco Time,OR
Ashland,38.48554,-82.658096,McDonald's,KY
Cleveland,41.373042,-81.826072,Burger King,OH
Evansville,38.01322,-87.57549,McDonald's,IN
Waxahachie,32.41269,-96.84213,Jimmy John's,TX
Oklahoma City,35.32026,-97.50536,Domino's Pizza,OK
Mililani,21.45311,-158.01738,Jersey Mike's Subs,HI
Jeffersonville,38.32967,-85.74938,Popeyes Louisiana Kitchen,IN
Louisville,38.21234,-85.59548,Qdoba Mexican Grill,KY
Salem,44.87205,-123.02243,Domino's Pizza,OR
San Antonio,29.4033,-98.70619,Whataburger,TX
Louisville,38.26897,-85.61074,Qdoba Mexican Grill,KY
Bennington,42.89413,-73.20316,Taco Bell,VT
Austin,30.22023,-97.83528,Whataburger,TX
Austin,30.16525,-97.78887,Whataburger,TX
Iron Mountain,45.825755,-88.063121,Hardee's,MI
Hickory,35.75332,-81.28572,McDonald's,NC
Saint Louis,38.72914,-90.34394,Rally's,MO
Mandeville,30.41178,-90.04186,Quiznos,LA
Auburn,42.94987,-76.54722,Burger King,NY
Richmond,29.55941,-95.76008,Whataburger,TX
Green Bay,44.51312,-87.96051,Domino's Pizza,WI
